beneficiaire,adresse,descriptif,montant,nom,prenom,departement,groupe,programme_budgetaire,ID_Acteur
"ACCA St Romain-Lachalm","Mme Isabelle SABY
Mairie
43260 SAINT ROMAIN LACHALM","Réalisation d'une salle de découpe",2000.00,WAUQUIEZ,Laurent,Haute-Loire,"Les Républicains",113-07,PA267285
"ACCA Vorey-sur-Arzon","M. Jean CONDON
Chemin de la Chaux
43800 VOREY SUR ARZON","Rénovation de la maison de la chasse",1500.00,WAUQUIEZ,Laurent,Haute-Loire,"Les Républicains",113-07,PA267285
"Accès pour Tous","Monsieur Patrick GOUPY
10, rue de la Proustière
41800 FONTAINE-LES-COTEAUX",Fonctionnement,5000.00,LEROY,Maurice,Loir-et-Cher,"Union des démocrates et indépendants",304-17,PA1960
"Accès Réagis","55, la Moutonnière
44260 Prinquiau","Mise en place d'une plateforme en circuit court",18500.00,BOUILLÉ,Marie-Odile,Loire-Atlantique,"Socialiste, républicain et citoyen",102-02,PA332843
"Access' Auto 62",,Fonctionnement,2000.00,FASQUELLE,Daniel,Pas-de-Calais,"Les Républicains",102-02,PA334149
"Accolade caraïbes","15-01 résidence Gatine Boulevard Sonis 97 139 Les Abymes","Réinsertion   des personnes sous main de justice",8000.00,JALTON,Éric,Guadeloupe,"Socialiste, républicain et citoyen",123-04,PA268039
"Accompagnement de chercheurs d'emplois (ACE)",Paris,Fonctionnement,1000.00,DEBRÉ,Bernard,Paris,"Les Républicains",102-02,PA1020
"Accompagnement en Soin Palliatifs","31 rue de Bretagne 92600 Asnieres","Achat de matériel d'accompagnement de la fin de vie",8000.00,PIETRASANTA,Sébastien,Hauts-de-Seine,"Socialiste, républicain et citoyen",204-14,PA610075
"Accompagnement Scolaire, Alphabétisation
au Mesnil",Mesnil-le-Roi,Fonctionnement,2000.00,MYARD,Jacques,Yvelines,"Les Républicains",304-17,PA2257
"Accompagnement Solidaire et Mutualisé lié à la perte d'Autonomie et à la Précarité Energétique : ASMAPE","ZA BP 24 Rue Georges lamiot
62690 AUBIGNY EN ARTOIS","Organisation d'évènements",1000.00,COTTEL,Jean-Jacques,Pas-de-Calais,"Socialiste, républicain et citoyen",177-11,PA344114
"ACCOORD MAISON DE QUARTIER DU BREIL","Yves Le Cars
10, rue d'Erion
44023 Nantes 1","Organiser un voyage pour 16 jeunes issus des quartiers nantais vers une capitale européenne et découvrir sa culture",5000.00,"DE RUGY",François,Loire-Atlantique,Écologiste,163-01,PA332747
"Accord 68","M. Hervé KUONY
12, rue du Chêne - BP 3265
68065 MULHOUSE","Financement actions d'aides aux victimes",3000.00,GROSSKOST,Arlette,Haut-Rhin,"Les Républicains",101-03,PA267227
"Accorderie Canéjan","Mairie de Canéjan
Chemin de Peyreres
33610 CANEJAN",Social,5000.00,ROUSSET,Alain,Gironde,"Socialiste, républicain et citoyen",163-01,PA331990
"ACCUEIL - Association communautaire pour la Coordination et Une Emergence des Initiatives Locales","Sainte-Mère-Eglise (50480)",Fonctionnement,1000.00,GOSSELIN,Philippe,Manche,"Les Républicains",163-01,PA266797
"Accueil 15","M. Francis HOPPENOT
48, rue des Entrepreneurs
75015 - Paris","Réfection des locaux",2000.00,LAMOUR,Jean-François,Paris,"Les Républicains",177-11,PA230329
"Accueil 9 de cœur","1 rue Saint Elie
62300 LENS","Accueil et hébergement dans le cadre de la lutte contre les violences conjugales",1500.00,DELCOURT,Guy,Pas-de-Calais,"Socialiste, républicain et citoyen",137-12,PA267923
"Accueil au pays des villages traditionnels de l'Outre-Fôret",Hunspach,Fonctionnement,5000.00,REISS,Frédéric,Bas-Rhin,"Les Républicains",224-02,PA266776
"Accueil des villes française Paris 17+8+9",Paris,Fonctionnement,3000.00,DEBRÉ,Bernard,Paris,"Les Républicains",224-02,PA1020
"Accueil des Villes Françaises (Vernouillet)","83 Boulevard de l'Europe - 78540 Vernouillet",Fonctionnement,1000.00,RICHARD,Arnaud,Yvelines,"Union des démocrates et indépendants",147-01,PA345897
"Accueil des villes françaises d’Auxerre (AVF)",Auxerre,Fonctionnement,1000.00,LARRIVÉ,Guillaume,Yonne,"Les Républicains",147-01,PA267785
"Accueil femme solidarités","81 Rue de France
L’Adriatic Bureau 312
06000 NICE",Fonctionnement,1000.00,SALLES,Rudy,Alpes-Maritimes,"Union des démocrates et indépendants",304-17,PA2667
"Accueil Goutte d'Or","26 Rue de Laghouat
75018 Paris","Soutien au fonctionnement du Centre social",15000.00,VAILLANT,Daniel,Paris,"Socialiste, républicain et citoyen",304-17,PA2859
"Accueil Paysan Poitou-Charents","Le Maine Dorin                                               17600 Corme Royal","Accompagnement des ruraux dans la création et l'animation de leur activité d'accueil de personnes en difficulté",2000.00,BATHO,Delphine,Deux-Sèvres,"Socialiste, républicain et citoyen",134-02,PA335999
"Accueil rencontre enfance","5 villa Saint Thibault 92270 Bois Colombes","Accompagnement à la parentalité, enfance 0-4 ans",6000.00,PIETRASANTA,Sébastien,Hauts-de-Seine,"Socialiste, républicain et citoyen",163-02,PA610075
"Accueil Solidarité Fleury","76 avenue de la Grande Charmille du Parc                      91700 Sainte-Geneviève-des-Bois","Aide aux personnes détenues et à leurs familles",5000.00,BOUTIH,Malek,Essonne,"Socialiste, républicain et citoyen",107-02,PA610045
"Accueil solidarité St Augustin","8, avenue César Caire",Fonctionnement,4000.00,LELLOUCHE,Pierre,Paris,"Les Républicains",177-11,PA1931
"Accueil Ville de France",Toulon,Fonctionnement,1500.00,LEVY,Geneviève,Var,"Les Républicains",147-01,PA267378
"ACDPM Baie de Somme","Mairie
19 Place Saint-Martin
80230 SAINT-VALERY-SUR-SOMME",Fonctionnement,2000.00,BUISINE,Jean-Claude,Somme,"Socialiste, républicain et citoyen",113-07,PA609535
"ACDTR - Section BMX",,Fonctionnement,1000.00,SERMIER,Jean-Marie,Jura,"Les Républicains",163-01,PA267204
ACE,"NOISY LE ROI",Fonctionnement,7000.00,GUAINO,Henri,Yvelines,"Les Républicains",102-01,PA609365
"ACE 15",PARIS,"Organisation des journées Brassens",8000.00,GOUJON,Philippe,Paris,"Les Républicains",224-02,PA1521
ACEAF,"Hotel de Ville parc du souvenir
77500 CHELLES","lutte contre la violence faite aux femmes",1000.00,BRÉHIER,Emeric,Seine-et-Marne,"Socialiste, républicain et citoyen",137-12,PA609314
ACEE,"106 rue le Corbusier
ZI de Grézan
30034 Nîmes cédex","Financement du démarrage du projet ""happy crulture"" pour favoriser la multiplication des colonies d'abeilles",4500.00,CAVARD,Christophe,Gard,Écologiste,113-07,PA606258
ACEFEPI,"3 avenue Léon Jouhaux
93140 Bondy",Fonctionnement,3000.00,BARTOLONE,Claude,Seine-Saint-Denis,"Socialiste, républicain et citoyen",163-01,PA381
ACEPP,LYON,"Transport de participants à un colloque national",1000.00,NACHURY,Dominique,Rhône,"Les Républicains",304-17,PA344776
"ACEPP  38 -73","Mathieu LATOUR                                                   132, impasse des Hortensias                                   38430 ST JEAN DE MOIRANS","réseau de crèches associatives, projet « grandir vers une société durable »",1000.00,BONNETON,Michèle,Isère,Écologiste,304-17,PA606910
"ACEPP 38-73","132 impasse des Hortensias
38430 Saint Jean de Moirans","Accompagner les lieux d'accueil des jeunes enfants à mener des ations concrètes sur le développement durable.",2000.00,VÉRAN,Olivier,Isère,"Socialiste, républicain et citoyen",163-02,PA642788
Acève,Toulon,Fonctionnement,1500.00,LEVY,Geneviève,Var,"Les Républicains",304-17,PA267378
ACFL,"Monsieur Soulignac Michel, Président ACFL
17 rue des carrières
54870 CONS LA GRANDVILLE","Réfection peinture Hangar",5000.00,FOURNEL,Jean-Marc,Meurthe-et-Moselle,"Socialiste, républicain et citoyen",219-01,PA343408
ACHERES-LA-FORET,,"la réhabilitation du réseau d'eaux pluviales rue du Marchais",18467.00,LACROUTE,Valérie,Seine-et-Marne,"Les Républicains",122-01,PA609245
"ACHIET LE PETIT","4 rue de Miraumont 62121 ACHIET LE PETIT","Création d'un colombarium",3000.00,COTTEL,Jean-Jacques,Pas-de-Calais,"Socialiste, républicain et citoyen",122-01,PA344114
Acigné,Acigné,"Restructuration de la cour de l'école élémentaire publique ""Ecole du Chevré""",25000.00,APPÉRÉ,Nathalie,Ille-et-Vilaine,"Socialiste, républicain et citoyen",122-01,PA267706
acjbb,Boulogne-Billancourt,Fonctionnement,10000.00,SOLÈRE,Thierry,Hauts-de-Seine,"Les Républicains",224-02,PA346876
ACL,Léognan,"Aide fonctionnement",1000.00,SAVARY,Gilles,Gironde,"Socialiste, républicain et citoyen",163-01,PA606495
"ACLAM (Association Culture Loisirs Animation Mornantaise)",MORNANT,Fonctionnement,1000.00,FENECH,Georges,Rhône,"Les Républicains",219-01,PA267591
"ACM Goderville","Hervé DEHAIS - ACM Goderville - 12 rue de la Poste - 76110 GODERVILLE",Sport,3600.00,GRELIER,Estelle,Seine-Maritime,"Socialiste, républicain et citoyen",219-01,PA609218
"ACO Firminy",Firminy,Fonctionnement,1500.00,CINIERI,Dino,Loire,"Les Républicains",219-01,PA267429
ACOMAR,"Neuville aux bois",Fonctionnement,2000.00,DUBOIS,Marianne,Loiret,"Les Républicains",178-03,PA342935
ACOMAR,OYONNAX,"Participation défilé et cérémonies 27 et 28 Juin 2015",2500.00,ABAD,Damien,Ain,"Les Républicains",178-03,PA605036
"ACPG / CATM",Sandillon,Fonctionnement,1000.00,"DE GANAY",Claude,Loiret,"Les Républicains",169-03,PA267735
"ACPG CATM Veuves",Loire,Fonctionnement,1000.00,CINIERI,Dino,Loire,"Les Républicains",169-03,PA267429
"ACPG de Lallaing","37, chemin du moulin - 59 167 Lallaing","Devoir de mémoire",1000.00,CANDELIER,Jean-Jacques,Nord,"Gauche démocrate et républicaine",167-02,PA267492
"ACPG-CATM Tournon",,Fonctionnement,2000.00,COSTES,Jean-Louis,Lot-et-Garonne,"Les Républicains",169-03,PA695511
"ACPGC - Section Saint Laurent de la Salanque","4, bd Kennedy 66100 Perpignan",Fonctionnement,1000.00,SIRÉ,Fernand,Pyrénées-Orientales,"Les Républicains",167-02,PA344492
ACPV,Marseille,Fonctionnement,2000.00,TEISSIER,Guy,Bouches-du-Rhône,"Les Républicains",134-02,PA2796
Acq,Acq,"Travaux de voirie",15241.00,MAQUET,Jacqueline,Pas-de-Calais,"Socialiste, républicain et citoyen",122-01,PA334116
ACRIMED,"39, rue du Faubourg St Martin
75010 Paris","Rénovation du site internet",2000.00,MAMÈRE,Noël,Gironde,Écologiste,129-11,PA2045
"Acroballe Circus","12 quai de Médine – 58000 Nevers","découverte et initiation aux arts du cirque",1500.00,CARRILLON-COUVREUR,Martine,Nièvre,"Socialiste, républicain et citoyen",224-02,PA267188
"ACSJ Auxerre",Auxerre,Fonctionnement,2000.00,LARRIVÉ,Guillaume,Yonne,"Les Républicains",219-01,PA267785
"ACT Formation","Tertial 2 -
216 route de Saint Simon -
31100 Toulouse","centre de formation professionnelle continue, dédié aux domaines de l’audiovisuel, du cinéma et du multimédia",9000.00,BORGEL,Christophe,Haute-Garonne,"Socialiste, républicain et citoyen",224-01,PA606363
"ACT TED","73 rue Richard de Fournival
80090 AMIENS","Organisation de sorties pour jeunes atteints de TED",2500.00,POMPILI,Barbara,Somme,Écologiste,157-04,PA609520
Act'Up,"10 Bis, rue du Colonel Driant, 31400 TOULOUSE","Aide pour la lutte contre le VIH/SIDA, les hépatites et les IST et pour toutes les populations touchées par ces pathologies : collectif régional de réduction des risques en milieux festifs (ATR)",10000.00,LEMORTON,Catherine,Haute-Garonne,"Socialiste, républicain et citoyen",204-12,PA331753
"Acta Vista","1 bd. Charles Livon
13007 Marseille",Fonctionnement,10000.00,SAUVAN,Gilbert,Alpes-de-Haute-Provence,"Socialiste, républicain et citoyen",304-12,PA2693
"Acte Public","14 Place Morel
69001 Lyon",Théâtre,4000.00,MUET,Pierre-Alain,Rhône,"Socialiste, républicain et citoyen",224-02,PA334755
"Acti Jeunes","Président : M. Romain BOMBANA
1 Place Albert Thomas
59150 WATTRELOS","Soutien à l'activité de jeunesse",8000.00,BAERT,Dominique,Nord,"Socialiste, républicain et citoyen",163-02,PA339
"ACTIG (Association des Commerçants et des Travailleurs Indépendants)","28 rue Charles-Frérot - 94250 Gentilly","Association de Commerçants",3250.00,LAURENT,Jean-Luc,Val-de-Marne,"Socialiste, républicain et citoyen",134-02,PA610481
"Action alcool addictions Guyane","28 r René Jadfard, 97300 Cayenne",fonctionnement,5000.00,SERVILLE,Gabriel,Guyane,"Gauche démocrate et républicaine",123-04,PA610667
"Action basket citoyen","8 avenue Savador Allende
69100 Villeurbanne","éducation des jeunes par le sport",5000.00,TOURAINE,Jean-Louis,Rhône,"Socialiste, républicain et citoyen",163-02,PA334768
"ACTION BASKET CITOYEN","8, avenue Salvadore Allende
69100 VILLEURBANNE",Fonctionnement,8000.00,HOBERT,Gilda,Rhône,"Radical, républicain, démocrate et progressiste",219-01,PA642910
"ACTION JEUNES PAJ","1, rue Charles Hérold
38380 ST LAURENT DU PONT","Mise en place d'un lieu mobile pour aller  à la rencontre des jeunes avec des jeux, des documents, un accès internet,",5000.00,BROTTES,François,Isère,"Socialiste, républicain et citoyen",163-02,PA680
"Action Jeunesse et Découverte","30b, rue de l'église
25000 BESANCON","Action ""Roller Football - Jeu du respect, de l'égalité et de la mixité""",1000.00,ALAUZET,Éric,Doubs,Écologiste,219-01,PA605963
"Action Médicale Nord Sud (AMNS)","Maison des Associations
Château des 4 Tours
13880 Velaux","Projet d'électrification des bâtiments scolaires et de la bibliothèque du village de Tangaye.",4500.00,MAGGI,Jean-Pierre,Bouches-du-Rhône,"Socialiste, républicain et citoyen",209-02,PA642684
"Action Pompignane","La Pompignane
Bât 21, Appart 489.
104 rue Paul Marrès
34000 MONTPELLIER","Insertion des jeunes. Aide aux personnes Agées et à mobilité réduite.",2500.00,VIGNAL,Patrick,Hérault,"Socialiste, républicain et citoyen",177-11,PA606639
"Actions Femmes","Avenue Honoré Serres
31100 TOULOUSE","Pérénisation emplois salariés",5000.00,BAPT,Gérard,Haute-Garonne,"Socialiste, républicain et citoyen",137-11,PA356
ACTISHOP,"24, Rue Elisée Clais
62250 FERQUES","CREATION JARDIN FLORAL ET FRUITIER",7000.00,BOURGUIGNON,Brigitte,Pas-de-Calais,"Socialiste, républicain et citoyen",304-12,PA608083
Active,"1 place de l'Eglise
53440 La chapelle au Riboul",Fonctionnement,2000.00,FAVENNEC,Yannick,Mayenne,"Union des démocrates et indépendants",304-17,PA267042
"Activités Cyclistes chemin long","132 av de la somme
33700 Merignac","Participation aux 40ans du club et un ordinateur",3000.00,RÉCALDE,Marie,Gironde,"Socialiste, républicain et citoyen",219-01,PA341981
"Activités et Loisirs Pour Adultes","La Croix st Ouen",Fonctionnement,1000.00,DEGAUCHY,Lucien,Oise,"Les Républicains",219-01,PA1031
"Activités physiques du Troisième Age",OYONNAX,"Participation frais de sortie",1000.00,ABAD,Damien,Ain,"Les Républicains",157-05,PA605036
ACTOP,Tourcoing,Fonctionnement,1000.00,DARMANIN,Gérald,Nord,"Les Républicains",224-02,PA607846
"Ada 13","Emmanuel Leguy
MDA 11, rue Caillaux
75013 Paris","Edition d’un Guide de l’Architecture et de l’Urbanisme du Treizième",3000.00,BAUPIN,Denis,Paris,Écologiste,334-01,PA609016
"ADA – Accueil Demandeurs d'Asile","Jacqueline LEININGER Présidente                                      6, rue Berthe de Boissieux                                  BP 285
38009 GRENOBLE","Organisation d'ateliers de co-production de connaissances pour un suivi de la réforme du droit d'asile",3000.00,BONNETON,Michèle,Isère,Écologiste,101-02,PA606910
"ADAC Montorgueil","51, rue Montorgueil – Paris 2ème",Fonctionnement,3000.00,LELLOUCHE,Pierre,Paris,"Les Républicains",134-02,PA1931
ADACB,"Le Bourg 71120 Marcilly-la-Gueurce","Exposition photos annuelle (Gueugnon).",2000.00,GUEUGNEAU,Edith,Saône-et-Loire,"Socialiste, républicain et citoyen",224-02,PA608684
ADAEC,"12 le Petit Village
36190 ST PLANTAIRE",Fonctionnement,1250.00,BRUNEAU,Isabelle,Indre,"Socialiste, républicain et citoyen",163-01,PA606745
"ADAJ 43","Mme Elodie RICHARDMaison Pour Tous de Chadrac
10 cours de la Liberté
43770 CHADRAC","Valoriser les projets de jeunes lauréats",1500.00,WAUQUIEZ,Laurent,Haute-Loire,"Les Républicains",163-02,PA267285
ADALY,"213 Rue Christian Dior
Aqueduc II
34090 MONTPELLIER","Organisation d'un colloque sur la nuisance des pesticides",2000.00,ROUMEGAS,Jean-Louis,Hérault,Écologiste,206-01,PA606545
ADAM-LES-PASSAVANT,,"le renforcement de voies communales et de chemins ruraux",7000.00,BONNOT,Marcel,Doubs,"Les Républicains",122-01,PA267576
"ADAMA 62 : Associations des Anciens Maires et Adjoints du Pas  de Calais","2 rue Jacques DHERSIGNY
Res du bois
62123 BASSEUX","Organisation d'évènements",1000.00,COTTEL,Jean-Jacques,Pas-de-Calais,"Socialiste, républicain et citoyen",163-01,PA344114
ADAMAL,"89 Boulevard Aristide Briand
13300 Salon-de-Provence","Accès et maintien au logement",8000.00,MAGGI,Jean-Pierre,Bouches-du-Rhône,"Socialiste, républicain et citoyen",109-02,PA642684
ADAPA,"Sully sur Loire",Fonctionnement,2000.00,"DE GANAY",Claude,Loiret,"Les Républicains",157-05,PA267735
"ADAPEI 35",Rennes,Fonctionnement,1000.00,"LE CALLENNEC",Isabelle,Ille-et-Vilaine,"Les Républicains",157-01,PA606693
"ADAPEI 77",Melun,Fonctionnement,3500.00,MIGNON,Jean-Claude,Seine-et-Marne,"Les Républicains",157-01,PA2191
"ADAPEI de l'Ain - IME Les Sapins",OYONNAX,"Particiaption frais rénovation",1500.00,ABAD,Damien,Ain,"Les Républicains",157-01,PA605036
"ADAPEI de l'Ardèche","863, route de la Chomotte
BP 186
07100 ROIFFIEUX","Soutien au projet de restructuration de l'ESAT de Viviers",5000.00,TERRASSE,Pascal,Ardèche,"Socialiste, républicain et citoyen",157-04,PA2799
"ADAPEI Secteur Vallée du Gier","4 place de la Halle 42400 SAINT CHAMOND",Fonctionnement,1000.00,ROCHEBLOINE,François,Loire,"Union des démocrates et indépendants",157-04,PA2597
Adapt'Equit,"3144 route de la Blanche
59270 Bailleul","Développement d'activités d'équithérapie et de l'handisport autour du cheval",2000.00,ALLOSSERY,Jean-Pierre,Nord,"Socialiste, républicain et citoyen",157-04,PA607892
ADARA,"10, rue Jeanne D’Arc
07700 BOURG-SAINT-ANDEOL","Soutien aux activités culturelles de l'association",1500.00,TERRASSE,Pascal,Ardèche,"Socialiste, républicain et citoyen",163-01,PA2799
ADARH,"15  rue du simbeou
30620 UCHAUD","Aménagement accès local personnes handicapées",1500.00,COLLARD,Gilbert,Gard,"Députés non inscrits",157-04,PA606212
ADASSEC,"5 rue de la fermette-Ravine Coco
97438 Ste-Marie","association por le développement d'activités sportives, socioéducatives et culturelle",5000.00,ORPHÉ,Monique,Réunion,"Socialiste, républicain et citoyen",123-04,PA610729
"ADAVIP 53",LAVAL,Fonctionnement,1000.00,CHEVROLLIER,Guillaume,Mayenne,"Les Républicains",101-03,PA607489
"ADCCFF - Association départementale des Comités communaux feux et forêts et des réserves communales de sécurité civile du Var",Belgentier,Fonctionnement,1000.00,VITEL,Philippe,Var,"Les Républicains",161-13,PA267506
ADDA,"5 bis, rue de la Carterie
44000 Nantes","Achat d'un cabanon de jardin afin d'y stocker le matériel partagé",4000.00,"DE RUGY",François,Loire-Atlantique,Écologiste,113-07,PA332747
"Addéei Sud","Place Maurice Mattéï
30129 Redessan","Création d'un lieu d'accueil sur le parc de l'eau à Redessan",3600.00,CAVARD,Christophe,Gard,Écologiste,163-01,PA606258
ADDES,"Le bourg
29690 Botmeur","Développement des activités de sensibilisation à l'environnement",1000.00,FERRAND,Richard,Finistère,"Socialiste, républicain et citoyen",304-12,PA606171
"Addiction Collège - APEL du Sacré Coeur",Halluin,Fonctionnement,1000.00,DARMANIN,Gérald,Nord,"Les Républicains",139-09,PA607846
ADDP,"21 rue Gambetta
91120 Palaiseau","Financement de la rénovation des casernements de la Batterie de la Pointe à Palaiseau",25000.00,LAMY,François,Essonne,"Socialiste, républicain et citoyen",175-01,PA1816
